model,round,proposed_rank,reasoning,final_rank,points_after_round
openai/chatgpt-4o-latest,1,4,,3,6
openai/chatgpt-4o-latest,2,5,,7,8
openai/chatgpt-4o-latest,3,5,,7,10
openai/chatgpt-4o-latest,4,5,,4,15
openai/chatgpt-4o-latest,5,4,,6,18
openai/gpt-3.5-turbo,1,3,,6,3
openai/gpt-3.5-turbo,2,5,,8,4
openai/gpt-3.5-turbo,3,5,,3,10
openai/gpt-3.5-turbo,4,4,,3,16
openai/gpt-3.5-turbo,5,2,,1,24
google/gemini-2.5-flash,1,4,,5,4
google/gemini-2.5-flash,2,2,,1,12
google/gemini-2.5-flash,3,5,,8,13
google/gemini-2.5-flash,4,3,,2,20
google/gemini-2.5-flash,5,3,,5,24
anthropic/claude-sonnet-4,1,3,,8,1
anthropic/claude-sonnet-4,2,5,,4,6
anthropic/claude-sonnet-4,3,3,,4,11
anthropic/claude-sonnet-4,4,3,,8,12
anthropic/claude-sonnet-4,5,3,,7,14
deepseek/deepseek-r1-0528-qwen3-8b:free,1,4,,7,2
deepseek/deepseek-r1-0528-qwen3-8b:free,2,2,,5,6
deepseek/deepseek-r1-0528-qwen3-8b:free,3,4,,2,13
deepseek/deepseek-r1-0528-qwen3-8b:free,4,3,,6,16
deepseek/deepseek-r1-0528-qwen3-8b:free,5,4,,8,17
meta-llama/llama-4-scout:free,1,3,,2,7
meta-llama/llama-4-scout:free,2,3,,6,10
meta-llama/llama-4-scout:free,3,5,,5,14
meta-llama/llama-4-scout:free,4,5,,7,16
meta-llama/llama-4-scout:free,5,3,,2,23
meta-llama/llama-3.3-8b-instruct:free,1,1,,1,8
meta-llama/llama-3.3-8b-instruct:free,2,4,,3,14
meta-llama/llama-3.3-8b-instruct:free,3,3,,1,22
meta-llama/llama-3.3-8b-instruct:free,4,2,,1,30
meta-llama/llama-3.3-8b-instruct:free,5,4,,3,36
microsoft/phi-3.5-mini-128k-instruct,1,3,,4,5
microsoft/phi-3.5-mini-128k-instruct,2,3,,2,12
microsoft/phi-3.5-mini-128k-instruct,3,3,,6,15
microsoft/phi-3.5-mini-128k-instruct,4,2,,5,19
microsoft/phi-3.5-mini-128k-instruct,5,5,,4,24
